Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.005447,1.384217,2.636082,47.860178510928904,-3.4647707529354776,-0.0739302090865234,-0.405454,0.027371,-0.011673,-0.913631,0.998229,-0.000866,0.059479,-0.043525,0.670941,0.740232,-0.050229,1.101569,2.960053,-26.09294320211732,6.735837700262299,-3.864561545925862,-0.227153,0.0496,-0.019537,0.972399,0.994316,-0.060528,-0.087586,0.015461,0.89604,-0.443705,0.06804,1.091386,2.946067,-19.232517561632005,0.9237355227448228,-11.563159979209278,-0.166994,-0.00892,-0.097978,0.981037,0.980641,-0.189261,0.050226,0.19522,0.925026,-0.325907,O,BuildTutorial
0.111,-0.001237,1.382819,2.636001,47.872381057761416,-2.0499287426440937,0.1650798858177314,-0.40563,0.016934,-0.008574,-0.91384,0.999279,0.001933,0.037906,-0.029409,0.670781,0.741072,-0.050344,1.100207,2.962198,-25.7737670878008,5.773067396435878,-3.1658689734598338,-0.224015,0.042918,-0.015667,0.973514,0.995825,-0.049733,-0.076543,0.011276,0.899144,-0.437508,0.068595,1.091685,2.945745,-19.352990124062252,1.0445599261502096,-11.748148349710329,-0.168115,-0.008263,-0.099358,0.980712,0.980119,-0.192106,0.049615,0.197663,0.92373,-0.328104,O,BuildTutorial
0.137,0.000206,1.38226,2.635796,47.95328133685778,-1.462362343119498,0.3203741345183373,-0.406297,0.012796,-0.00774,-0.913619,0.999553,0.003744,0.02967,-0.02454,0.669726,0.742203,-0.050221,1.099225,2.963269,-25.407428089012303,5.548330701862026,-2.929741086161426,-0.220787,0.041584,-0.014269,0.974331,0.996134,-0.046167,-0.074733,0.009442,0.902099,-0.431425,0.069175,1.091783,2.945593,-19.370863397917535,1.245319814900743,-11.86663001494444,-0.168435,-0.006735,-0.100073,0.980597,0.97988,-0.193993,0.04692,0.198531,0.92323,-0.328986,O,BuildTutorial
0.17,0.001688,1.381657,2.635564,48.047486738242995,-0.7829849286718363,0.4808094127112319,-0.407076,0.007949,-0.006614,-0.913336,0.999786,0.00561,0.019904,-0.018553,0.66849,0.743489,-0.0503,1.097977,2.964369,-24.916531628519618,5.1173878764008265,-1.927260627149973,-0.216216,0.039961,-0.006776,0.975504,0.996714,-0.0305,-0.075035,-0.004061,0.906409,-0.422381,0.069839,1.091901,2.945251,-19.400351066923086,1.3523866898470691,-11.737963655353765,-0.168787,-0.005656,-0.098807,0.980671,0.980411,-0.191884,0.044448,0.195703,0.923497,-0.329931,O,BuildTutorial
0.204,0.003166,1.381161,2.63551,48.08340310356673,-0.1813648616956833,0.5610360063228313,-0.407389,0.00344,-0.005116,-0.913234,0.999924,0.006541,0.010452,-0.012147,0.668016,0.744048,-0.049966,1.096489,2.965524,-24.451241169236415,4.906773899344223,-1.4610398270188458,-0.212084,0.039135,-0.003385,0.976462,0.996914,-0.023211,-0.074991,-0.009989,0.910018,-0.414448,0.070507,1.092085,2.9452,-19.40837342988357,1.4679571388119597,-11.514724194437624,-0.168964,-0.004345,-0.096724,0.980855,0.981251,-0.188276,0.04121,0.191213,0.924191,-0.330617,O,BuildTutorial
0.237,0.004541,1.380603,2.635418,48.15588951509878,0.3263782848938178,0.5317977357132618,-0.407985,-0.000707,-0.003075,-0.912983,0.99998,0.006193,0.001218,-0.005039,0.667078,0.744971,-0.049509,1.095205,2.9666,-24.08555755656509,4.776461973768565,-1.0195599539838631,-0.208815,0.038897,0.0,0.977181,0.996974,-0.016244,-0.076018,-0.016244,0.912792,-0.408101,0.071524,1.092037,2.945139,-19.395060358628683,1.7424305175569228,-11.472819130616552,-0.169082,-0.001922,-0.095964,0.980917,0.981574,-0.187616,0.036223,0.188916,0.924404,-0.331342,O,BuildTutorial
0.27,0.005773,1.38008,2.635227,48.243129912020706,0.7149916128632406,0.5009595920216497,-0.408687,-0.003908,-0.00144,-0.912665,0.999965,0.005822,-0.005956,0.000566,0.665945,0.746,-0.049969,1.093165,2.96861,-23.23202102194671,3.9774257615883992,1.2489152345307624,-0.200848,0.036183,0.017656,0.978795,0.996758,0.020029,-0.077925,-0.049099,0.918697,-0.391901,0.073467,1.091694,2.945188,-19.158385586222924,2.2155549747269947,-11.210816045112354,-0.167446,0.002721,-0.093095,0.981472,0.982652,-0.183651,0.025835,0.181828,0.926591,-0.329193,O,BuildTutorial
0.304,0.006741,1.379766,2.635057,48.25233856705131,0.9011292034722516,0.3548769801482758,-0.408755,-0.005911,0.000388,-0.912625,0.99993,0.004124,-0.011107,0.005541,0.665838,0.746076,-0.050879,1.091007,2.970273,-22.414316187083404,3.142167962053856,2.411118704178244,-0.193675,0.030976,0.025958,0.980233,0.996733,0.038891,-0.070783,-0.062888,0.923632,-0.378085,0.075115,1.091359,2.945212,-19.00815604506673,2.5182165217165515,-11.16004785057976,-0.166403,0.005518,-0.092267,0.981716,0.982913,-0.182997,0.019874,0.179325,0.927594,-0.327739,O,BuildTutorial
0.337,0.007416,1.379859,2.635135,48.17149024877278,0.8879781034070999,0.1157815342567281,-0.408098,-0.006662,0.00224,-0.912911,0.999901,0.001348,-0.013991,0.009526,0.666902,0.745084,-0.049891,1.089557,2.970796,-22.223774247961643,3.2801203709840387,1.219177090561881,-0.192337,0.030132,0.015951,0.980737,0.997675,0.019697,-0.065238,-0.042878,0.925504,-0.376302,0.076955,1.091159,2.945202,-19.04061246735368,2.7040156560332815,-11.336911275364372,-0.166841,0.006824,-0.093501,0.981517,0.982422,-0.185823,0.017804,0.181269,0.926843,-0.328791,O,BuildTutorial
0.37,0.007822,1.380359,2.635287,48.04754445217648,0.646599949885299,-0.2652014061240244,-0.407096,-0.006096,0.004411,-0.913354,0.999887,-0.003095,-0.014727,0.013021,0.668506,0.743592,-0.049445,1.089149,2.971047,-22.29525699002756,3.244162482278336,1.356169690663007,-0.192918,0.030058,0.017079,0.980606,0.99761,0.021899,-0.06554,-0.045094,0.924982,-0.377327,0.078503,1.090767,2.945112,-19.00967207393342,2.862057109822524,-11.4490079775216,-0.166713,0.008042,-0.094242,0.981459,0.982108,-0.18767,0.015637,0.182307,0.926651,-0.328759,O,BuildTutorial
0.403,0.007899,1.381255,2.635752,47.795171777208175,0.2101407523975176,-0.7160694056944151,-0.405084,-0.004208,0.006456,-0.914247,0.999881,-0.008396,-0.012925,0.015214,0.671731,0.740639,-0.048829,1.088868,2.971224,-22.146896927637844,3.2106685340779797,1.535973544665491,-0.191606,0.030064,0.018529,0.980836,0.997506,0.024828,-0.066076,-0.047869,0.925887,-0.374755,0.080013,1.090089,2.945259,-18.880998617682547,3.0706906075028297,-11.48236582381394,-0.165786,0.009896,-0.094272,0.981596,0.98203,-0.188355,0.01183,0.181793,0.927255,-0.327336,O,BuildTutorial
0.436,0.007448,1.382276,2.636596,47.45264563032645,-0.5934083460351169,-1.2672158931086883,-0.402391,0.000291,0.00804,-0.915433,0.999871,-0.014954,-0.005937,0.014486,0.676033,0.736729,-0.048458,1.088303,2.971433,-21.89154438353981,3.177319766285561,1.6666132303024734,-0.189391,0.029977,0.019537,0.98125,0.997439,0.026986,-0.066229,-0.049695,0.927499,-0.370509,0.081633,1.089027,2.94544,-18.661464055257458,3.3159763252429086,-11.488019990119454,-0.164109,0.012187,-0.094051,0.981873,0.982012,-0.188692,0.006937,0.180692,0.928446,-0.32456,O,BuildTutorial
0.47,0.006409,1.383222,2.637519,47.11024646546532,-1.8334304018329208,-2.1209744741743477,-0.399783,0.007268,0.010571,-0.91652,0.999671,-0.02519,0.004871,0.013566,0.680124,0.732972,-0.048161,1.087692,2.971835,-21.830915055494287,3.1784441248958557,1.5993659968991736,-0.188889,0.029871,0.01895,0.981361,0.997497,0.025908,-0.065786,-0.048477,0.927924,-0.369604,0.083598,1.087395,2.94582,-18.28502965738,3.5697585615613523,-11.733534318441778,-0.161125,0.014357,-0.095945,0.982154,0.981177,-0.193093,0.002716,0.18384,0.929667,-0.319254,O,BuildTutorial
0.503,0.005094,1.384215,2.638575,46.83033105126497,-3.10104096085702,-3.030806758848156,-0.397763,0.014316,0.01351,-0.917277,0.999225,-0.036174,0.015515,0.013397,0.683205,0.730104,-0.048199,1.086137,2.972278,-21.75351689665805,2.9034817676358,1.410629057227858,-0.188316,0.0272,0.016865,0.981587,0.997952,0.022864,-0.05975,-0.043353,0.928505,-0.36878,0.085827,1.084519,2.94617,-18.05102115445318,3.632506433730771,-11.145208683370072,-0.159094,0.015928,-0.090908,0.98294,0.982964,-0.183783,-0.002387,0.173647,0.93285,-0.315655,O,BuildTutorial
0.537,0.003636,1.385199,2.639852,46.55344206470078,-4.36082968639518,-3.8312110236535264,-0.395834,0.02173,0.015658,-0.917932,0.998565,-0.045949,0.027496,0.011544,0.686141,0.727377,-0.0492,1.084063,2.972346,-21.40095790191812,2.365854623166077,1.4179793593753938,-0.18537,0.022581,0.015989,0.982279,0.998469,0.023039,-0.05029,-0.039783,0.930765,-0.363448,0.086868,1.082301,2.946164,-18.131500892258963,3.309883682280036,-10.591314499813365,-0.159462,0.013861,-0.086573,0.983303,0.984626,-0.174676,0.000352,0.165835,0.934154,-0.315998,O,BuildTutorial
0.57,0.002345,1.386159,2.641163,46.35056118226326,-5.493694284122375,-4.444607092155174,-0.394506,0.02878,0.016761,-0.91829,0.997782,-0.05349,0.039632,0.008075,0.688168,0.725506,-0.051057,1.08104,2.971956,-20.921832388339354,1.6427058624345396,1.8958092345654345,-0.181288,0.017098,0.018869,0.9831,0.998703,0.030901,-0.04046,-0.043299,0.933557,-0.355803,0.087693,1.079296,2.945598,-18.167818665666356,2.653427452739543,-9.91834628793681,-0.159224,0.009133,-0.081697,0.983814,0.986485,-0.163657,0.008045,0.15784,0.935947,-0.314787,O,BuildTutorial
0.603,0.001333,1.387024,2.642646,46.207862184588805,-6.337305346797217,-4.800982461939077,-0.393586,0.034387,0.016795,-0.918491,0.997071,-0.057922,0.049948,0.003784,0.689616,0.724166,-0.053319,1.076682,2.970452,-20.767973245045496,1.03275179686943,1.9306623051463567,-0.180062,0.0119,0.018195,0.983415,0.999055,0.031501,-0.029957,-0.040072,0.934494,-0.353717,0.087585,1.074721,2.945164,-18.076728315399357,1.5763321028745787,-8.51997005876441,-0.157656,0.001879,-0.071198,0.984922,0.989855,-0.140841,0.018748,0.139656,0.940151,-0.310826,O,BuildTutorial
0.637,0.000757,1.387675,2.644511,46.14177563552915,-6.8454798763205655,-4.9235499098546995,-0.393169,0.038075,0.016073,-0.918537,0.996584,-0.059466,0.057308,-0.000413,0.69032,0.723504,-0.056022,1.070446,2.968786,-20.66496313756107,0.3907061794246496,1.285454873944904,-0.17931,0.005366,0.011647,0.983709,0.999671,0.020991,-0.014733,-0.024839,0.935425,-0.352653,0.086579,1.06823,2.944364,-18.055964732971947,-0.100947807247189,-5.75919254404546,-0.156675,-0.008752,-0.049753,0.986358,0.994896,-0.095405,0.032855,0.10089,0.945955,-0.308204,O,BuildTutorial
0.67,0.000572,1.387972,2.64654,46.22075722849183,-7.079645694256527,-4.764699119396816,-0.393777,0.040454,0.013946,-0.91821,0.996338,-0.05747,0.063308,-0.00625,0.689491,0.724267,-0.060938,1.060511,2.966723,-19.626568540889192,-0.9746745778676073,1.5755903773428646,-0.170531,-0.006037,0.012098,0.98526,0.999634,0.025898,0.00777,-0.02178,0.941545,-0.336182,0.086362,1.059419,2.943306,-17.19542806958237,-1.3330787668857011,-4.104382787485126,-0.148978,-0.016848,-0.037143,0.987999,0.996673,-0.068375,0.044359,0.078416,0.952852,-0.293129,O,BuildTutorial
0.703,0.00045,1.387733,2.649028,46.45623359062577,-7.384561614543715,-4.644141624835721,-0.395649,0.043183,0.011778,-0.917311,0.995993,-0.05578,0.069905,-0.012562,0.686647,0.726883,-0.067064,1.04709,2.964248,-17.43078861753465,-2.92396514442371,2.342852457622724,-0.151961,-0.022117,0.016336,0.988004,0.998488,0.039003,0.038738,-0.025559,0.953282,-0.300998,0.088561,1.048553,2.942101,-15.313429550047974,-1.523449877628112,-5.652780255760832,-0.132414,-0.019729,-0.050635,0.989704,0.994094,-0.095003,0.052462,0.105453,0.959805,-0.260103,O,BuildTutorial
0.737,0.000457,1.386889,2.651407,46.91882510095268,-7.718610854332892,-4.691618835110736,-0.399391,0.045434,0.01069,-0.915592,0.995643,-0.055866,0.074659,-0.016717,0.680745,0.73233,-0.073363,1.030048,2.960998,-14.459365893891496,-4.727315043773675,2.485767634638412,-0.126598,-0.038177,0.016311,0.991085,0.996553,0.041998,0.071543,-0.022666,0.967414,-0.252184,0.091949,1.034845,2.941353,-12.444181556545832,-1.216555764074369,-8.814799755968735,-0.107245,-0.018851,-0.077538,0.991025,0.987265,-0.149641,0.053996,0.157728,0.964973,-0.209642,O,BuildTutorial
0.773,0.000475,1.385603,2.653951,47.570915086492,-8.077442636566513,-4.7056362153969165,-0.404618,0.047878,0.009091,-0.913186,0.99525,-0.055349,0.080087,-0.022141,0.672403,0.739854,-0.084193,1.000639,2.954752,-8.787245727611522,-7.472182974542032,4.48706448129883,-0.07893,-0.061927,0.033961,0.994375,0.990023,0.077316,0.117796,-0.057764,0.985234,-0.161177,0.09702,1.009057,2.93928,-6.144635172110494,-0.6891273479963542,-13.332161948277314,-0.052536,-0.012186,-0.116234,0.991757,0.972683,-0.22927,0.036385,0.231831,0.967459,-0.101374,O,BuildTutorial
0.808,0.000345,1.383892,2.656866,48.26152785894203,-8.627195063454305,-4.8481427443451715,-0.410201,0.051339,0.007768,-0.910516,0.994608,-0.056265,0.087117,-0.027973,0.66335,0.747786,-0.093214,0.979842,2.948443,-4.502585774642431,-9.656445834684408,6.930626270786463,-0.044155,-0.081584,0.056883,0.994062,0.980217,0.120295,0.157176,-0.105885,0.989629,-0.097066,0.099375,0.988028,2.936928,-0.7889683367259653,-0.5972644577471518,-15.72873766819722,-0.006107,-0.006105,-0.136859,0.990553,0.962465,-0.271057,0.013766,0.271206,0.962465,-0.010428,O,BuildTutorial
0.841,0.000134,1.382203,2.659978,48.92730913839446,-9.281002503647477,-5.0438344615500466,-0.415599,0.055407,0.006449,-0.907836,0.993777,-0.057763,0.095241,-0.034345,0.654472,0.755306,-0.101617,0.960155,2.941251,-0.7340159629771296,-11.480815229862602,7.854876470352904,-0.013209,-0.099348,0.067509,0.992672,0.971145,0.136653,0.195457,-0.131404,0.990536,-0.039638,0.101104,0.96898,2.932871,3.1084775742639494,-0.4035677741886846,-17.98390936752904,0.02734,0.000762,-0.156143,0.987356,0.951238,-0.308296,-0.010043,0.308379,0.949744,0.05375,O,BuildTutorial
0.875,-0.000456,1.380683,2.663188,49.61455779060121,-10.209840386685327,-5.428434966530375,-0.421259,0.060889,0.005523,-0.904877,0.992524,-0.061296,0.105541,-0.041305,0.64502,0.763048,-0.109892,0.944188,2.933256,1.4524822037370622,-12.954325731867185,6.987267785476298,0.005697,-0.113356,0.061971,0.991604,0.96662,0.12161,0.225515,-0.124193,0.992254,-0.002751,0.101081,0.954511,2.927204,4.612689664682217,-0.5427904777042227,-17.85107740816503,0.040489,0.001568,-0.154835,0.987109,0.952047,-0.305551,-0.015634,0.305805,0.948774,0.079448,O,BuildTutorial
0.908,-0.001473,1.37953,2.666739,50.17862886390654,-11.39336836957398,-5.841813119292237,-0.425969,0.068279,0.003886,-0.902149,0.990646,-0.06518,0.119886,-0.051159,0.637071,0.769106,-0.118199,0.932137,2.925193,2.3377531737831694,-14.190543460095936,5.500736341541797,0.014294,-0.124323,0.050124,0.990872,0.964063,0.095778,0.247809,-0.102887,0.994567,0.015864,0.098719,0.943066,2.921276,5.2283171464996485,-1.1340897769483824,-15.154655741493666,0.046513,-0.003786,-0.131273,0.990247,0.965506,-0.260337,-0.004713,0.259633,0.961208,0.093114,O,BuildTutorial
0.942,-0.003004,1.378661,2.670352,50.66134014068548,-12.961231213260328,-6.51083317059802,-0.430215,0.07771,0.002788,-0.899371,0.987907,-0.071878,0.137381,-0.06185,0.629814,0.77428,-0.131443,0.919734,2.912708,2.7747685498624524,-16.049336167785658,3.265342045849655,0.019989,-0.140185,0.031583,0.98942,0.958702,0.056893,0.278665,-0.068102,0.997206,0.030701,0.09381,0.930271,2.912834,5.947213782158454,-2.218767079891912,-12.68720265587033,0.053685,-0.013486,-0.109323,0.992464,0.975733,-0.218446,0.015031,0.21555,0.970333,0.109509,O,BuildTutorial
