Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.182736,1.68329,2.722656,26.144713343161836,0.6700568832315636,3.664105181371155,-0.226244,0.001538,-0.029819,-0.973613,0.998217,0.057368,0.016487,-0.05876,0.895849,0.440456,-0.175782,1.417141,3.011405,-36.09918001607389,-13.124101034775604,12.912757732868752,-0.318076,-0.073354,0.071029,0.942551,0.979148,0.180561,0.093094,-0.087232,0.787565,-0.610026,-0.272937,1.455106,2.971442,-53.06818146232808,-15.409910129808432,69.23880761907546,-0.432461,0.152794,0.454403,0.763642,0.540343,0.561849,-0.626383,-0.826158,0.212991,-0.52163,M,BuildB
0.049,-0.179123,1.690489,2.717204,23.492713664033896,1.7501849485009795,3.5070547339424984,-0.203918,-0.008717,-0.026848,-0.978581,0.998406,0.0561,-0.006112,-0.04899,0.915393,0.399569,-0.103793,1.449084,3.01422,-36.75990487701766,14.636514033835848,-13.890754966462778,-0.325071,0.082177,-0.073949,0.939206,0.975557,-0.192332,-0.106284,0.085479,0.777721,-0.62277,-0.295864,1.467893,2.939561,-55.31606311770268,-36.93139698277956,82.63409640410997,-0.515913,0.079985,0.444248,0.728066,0.592491,0.564353,-0.574856,-0.729415,0.072954,-0.680171,M,BuildB
0.083,-0.177408,1.693631,2.714053,22.30464680551444,2.279312640814964,3.2465672222772515,-0.193855,-0.014028,-0.023942,-0.980638,0.99846,0.052395,-0.01823,-0.041518,0.923694,0.380875,-0.080679,1.462716,3.013492,-35.94317719241495,22.03000950672038,-22.63455460717704,-0.332638,0.118776,-0.125422,0.9271,0.940323,-0.311576,-0.136793,0.153539,0.747242,-0.646571,-0.301587,1.468043,2.923114,-54.64181112579369,-47.35391567346158,88.26497991664112,-0.550126,0.036616,0.434282,0.712334,0.620116,0.578421,-0.529986,-0.658995,0.017521,-0.751943,M,BuildB
0.116,-0.175758,1.696408,2.71032,21.44038308873959,2.8029500267988343,2.9127796519872406,-0.186508,-0.019297,-0.020417,-0.982052,0.998422,0.0473,-0.030284,-0.032904,0.929596,0.367108,-0.064166,1.474381,3.013073,-34.821630361528584,28.135965399139728,-28.77337806336115,-0.338773,0.152547,-0.159519,0.914613,0.902566,-0.395153,-0.170962,0.188438,0.719573,-0.668361,-0.297928,1.465351,2.90776,-54.49246987328935,-55.82558014464035,94.17358636781624,-0.580266,0.012912,0.429449,0.69188,0.630813,0.579269,-0.516257,-0.60924,-0.042271,-0.791859,M,BuildB
0.15,-0.174273,1.699069,2.706262,20.65758667201526,3.35628419390082,2.4973505525129847,-0.179805,-0.024898,-0.01618,-0.983254,0.998237,0.040772,-0.043145,-0.022864,0.934817,0.354394,-0.053398,1.484849,3.010622,-34.55587247426448,33.250818847935975,-34.44473617762457,-0.352721,0.176691,-0.189734,0.899094,0.865563,-0.465822,-0.183877,0.216531,0.679178,-0.701307,-0.284691,1.458844,2.897226,-53.800412350714474,-59.21625344030693,98.6818304253125,-0.59054,0.011324,0.442535,0.674757,0.608069,0.583833,-0.537951,-0.610582,-0.089149,-0.786919,M,BuildB
0.182,-0.17301,1.701541,2.702254,19.834808366815068,3.993721541562599,2.1412203370649907,-0.172735,-0.031102,-0.012394,-0.984399,0.997758,0.035146,-0.056952,-0.013656,0.940018,0.340852,-0.047583,1.492595,3.006607,-34.88424847323938,37.26982602832549,-38.244964621965885,-0.368219,0.194979,-0.205648,0.885498,0.839385,-0.507791,-0.19386,0.220612,0.644248,-0.732308,-0.264577,1.451728,2.891437,-57.00042538301588,-57.15228888210396,95.79552249666096,-0.592831,0.02907,0.419583,0.686773,0.646211,0.541849,-0.537412,-0.610784,-0.054995,-0.789885,M,BuildB
0.215,-0.17208,1.703908,2.698425,19.030805898505605,4.646158217473902,1.7925031917207468,-0.165782,-0.037388,-0.008714,-0.985415,0.997052,0.029571,-0.070796,-0.004778,0.944881,0.327381,-0.043919,1.498249,3.000848,-35.30322385691567,41.364842843850695,-38.392592104491115,-0.378575,0.224568,-0.19199,0.877149,0.825418,-0.50684,-0.248593,0.166777,0.639641,-0.750363,-0.240245,1.445666,2.889478,-64.58463177482355,-48.85417730684147,83.18838133901984,-0.595841,0.061474,0.34572,0.722269,0.753398,0.426148,-0.500789,-0.572662,0.050902,-0.81821,M,BuildB
0.249,-0.171381,1.705941,2.694975,18.276728792248612,5.314747872465021,1.557767632937638,-0.159256,-0.043614,-0.006044,-0.986255,0.996123,0.025814,-0.084104,0.001969,0.949202,0.31466,-0.043243,1.502593,2.994771,-36.75260999545998,44.196875243938294,-39.01372870758579,-0.394546,0.238986,-0.181821,0.868424,0.819654,-0.504377,-0.271609,0.127213,0.622549,-0.772172,-0.219245,1.441609,2.890868,-68.72455807842823,-32.98635760669125,65.2965280127601,-0.58212,0.094639,0.292087,0.752905,0.811457,0.329645,-0.482568,-0.55001,0.151644,-0.821275,M,BuildB
0.282,-0.170917,1.707287,2.692058,17.800628883792818,5.979395701305039,1.5476592625823051,-0.155187,-0.049437,-0.005256,-0.986633,0.995057,0.025715,-0.095921,0.004973,0.951779,0.306746,-0.043098,1.502445,2.988502,-37.597476673450586,46.77146560145814,-38.463647720040235,-0.403035,0.257352,-0.165438,0.862533,0.8128,-0.492836,-0.310594,0.077949,0.620386,-0.780414,-0.223408,1.43304,2.903606,-59.41241223428344,-35.43319997769932,71.32238917441553,-0.537625,0.06045,0.359835,0.760148,0.733728,0.482057,-0.478815,-0.612055,0.162957,-0.773844,M,BuildB
0.316,-0.170751,1.707654,2.690126,17.716378731107167,6.634925262537897,1.5985720980820517,-0.154514,-0.055028,-0.00485,-0.986445,0.993897,0.026574,-0.107066,0.007437,0.952204,0.305372,-0.041196,1.499028,2.980039,-37.31683563722054,49.52598318970486,-40.726457406902085,-0.410445,0.270962,-0.173736,0.853188,0.792791,-0.51889,-0.319745,0.074029,0.602701,-0.794526,-0.230074,1.420243,2.915192,-51.424688885008536,-39.8810584162701,65.06077426108784,-0.509091,-0.03975,0.330705,0.79365,0.778108,0.565401,-0.273623,-0.484456,0.262922,-0.834371,M,BuildB
