Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.152846,1.445006,2.414508,-2.8950135151164647,0.5372734155594153,-1.9796813369354591,0.025338,-0.00425,0.017151,-0.999523,0.999376,-0.034501,-0.007627,0.03407,0.998128,-0.050798,0.138673,1.162205,2.59134,-62.30625839856282,-13.593100130640275,-12.159908497680515,-0.500075,-0.155116,-0.150883,0.838509,0.906347,-0.097894,0.411039,0.408173,0.454318,-0.791827,0.077501,1.152415,2.703471,-32.33299551589585,-26.470537350121727,22.49233467039761,-0.308715,-0.162816,0.119815,0.929425,0.918271,0.323244,0.228673,-0.12219,0.78068,-0.61287,F,BuildA
0.05,0.152732,1.446463,2.415177,-3.809215267972716,0.5644930764237885,-2.026162275983412,0.033317,-0.004335,0.017507,-0.999282,0.999349,-0.035279,-0.007497,0.034701,0.997167,-0.066738,0.148591,1.166544,2.592122,-62.927891674436374,-10.078513791795352,-14.458204043246308,-0.506383,-0.139756,-0.152404,0.837148,0.914483,-0.11363,0.388343,0.39671,0.440698,-0.805237,0.062124,1.135027,2.710332,-25.941063953327,-28.3573490985984,27.63754841197389,-0.268327,-0.179811,0.17228,0.930585,0.875975,0.417138,0.242205,-0.224145,0.796641,-0.561358,F,BuildA
0.082,0.152823,1.44659,2.415628,-3.9363905373077657,0.5779426719364186,-2.024459925558027,0.034428,-0.004433,0.017482,-0.999245,0.99935,-0.035242,-0.007655,0.034632,0.997018,-0.068959,0.153911,1.168499,2.592388,-63.28572636372249,-8.053458519050363,-15.44064519123731,-0.510553,-0.129543,-0.15059,0.836586,0.921082,-0.119685,0.370517,0.38424,0.433316,-0.815228,0.054867,1.123454,2.714594,-20.34034480519541,-27.740970159128995,30.97166975834722,-0.228202,-0.181625,0.214349,0.932197,0.842134,0.482525,0.240791,-0.316736,0.803957,-0.503321,F,BuildA
0.116,0.15282,1.446267,2.416301,-3.765944060647669,0.6445436920598551,-2.074202467811247,0.032954,-0.005026,0.017905,-0.999284,0.999308,-0.036116,-0.008864,0.035453,0.997187,-0.066041,0.160345,1.170152,2.593588,-63.14256725430816,-4.861434626749618,-16.98200934858193,-0.512019,-0.112974,-0.147648,0.838614,0.930874,-0.131949,0.34068,0.363328,0.432074,-0.825412,0.048488,1.110621,2.719146,-15.264647649901676,-25.555010977096533,34.656811479411836,-0.188938,-0.170678,0.259858,0.931475,0.806686,0.548597,0.219771,-0.419607,0.793553,-0.440685,F,BuildA
0.149,0.152875,1.445782,2.417085,-3.5015094508951368,0.6423651356143467,-2.037408440268313,0.030646,-0.005059,0.017599,-0.999363,0.999329,-0.035485,-0.009032,0.034865,0.997502,-0.061432,0.167357,1.170477,2.596354,-62.46821561153068,-1.7190584818188233,-18.67575868948509,-0.509526,-0.096783,-0.146398,0.842368,0.938402,-0.148016,0.31224,0.345269,0.437902,-0.830079,0.041752,1.095825,2.720871,-9.504029491002694,-23.2183858579532,43.45356079703196,-0.149621,-0.156257,0.345875,0.912999,0.711908,0.678326,0.181825,-0.584809,0.715968,-0.381298,F,BuildA
0.183,0.153083,1.445324,2.417897,-3.236728803853635,0.6623023652620269,-1.99828651386682,0.028338,-0.005284,0.017267,-0.999435,0.999348,-0.034813,-0.009583,0.034214,0.997798,-0.056826,0.174913,1.169652,2.600667,-60.69308623073984,1.89000366548179,-20.042072055495325,-0.49993,-0.073887,-0.141942,0.851154,0.948786,-0.167752,0.267702,0.315507,0.459844,-0.83006,0.036234,1.08223,2.721558,-5.839983057931389,-22.07632248639967,48.92576309487453,-0.124693,-0.153344,0.397037,0.896269,0.637694,0.749946,0.17586,-0.673463,0.653626,-0.345283,F,BuildA
0.215,0.153357,1.445051,2.41878,-2.9857448365035606,0.765234516842311,-2.100416848213566,0.02617,-0.006197,0.018148,-0.999474,0.999265,-0.036602,-0.011438,0.035953,0.997972,-0.052538,0.185008,1.167486,2.60593,-58.50971549885089,7.248825079746141,-23.91753342254976,-0.488561,-0.047103,-0.150195,0.858214,0.950445,-0.211774,0.227608,0.303825,0.477498,-0.824431,0.031364,1.07244,2.719305,-4.65991905114762,-22.163485466962644,48.67797551531799,-0.115501,-0.158539,0.396996,0.896616,0.63452,0.748528,0.19259,-0.675282,0.658108,-0.332999,F,BuildA
0.249,0.153655,1.444821,2.419651,-2.8584538465327345,0.8771172297338269,-2.1251301998649876,0.025079,-0.007188,0.018347,-0.999491,0.999223,-0.037037,-0.013448,0.036316,0.998069,-0.050397,0.194552,1.164285,2.612006,-56.46191489272196,10.741866114338467,-25.539829294671087,-0.47753,-0.023668,-0.150707,0.86527,0.953455,-0.2382,0.184892,0.283408,0.498505,-0.819251,0.026695,1.065587,2.715505,-4.626359127000894,-23.08570298703643,47.304942792926425,-0.116436,-0.167277,0.385356,0.899979,0.647038,0.732579,0.211353,-0.65467,0.675887,-0.338503,F,BuildA
0.283,0.15393,1.444861,2.420481,-2.861670551064991,0.9348161034093776,-2.0463510139052565,0.025111,-0.007708,0.017647,-0.999499,0.999258,-0.035664,-0.014521,0.03489,0.998116,-0.050469,0.203854,1.159587,2.618503,-53.85652835868241,12.627176239832457,-25.628551930000683,-0.460663,-0.00423,-0.147982,0.875142,0.956167,-0.255113,0.143744,0.262908,0.531782,-0.805039,0.022166,1.060002,2.710963,-4.697363523738268,-23.61449555052273,46.594856814208455,-0.117703,-0.171913,0.379109,0.901592,0.653445,0.724073,0.220747,-0.643134,0.684845,-0.342587,F,BuildA
0.316,0.154105,1.444912,2.421309,-2.8300386465028895,0.9914125406109908,-2.076950514870913,0.024846,-0.0082,0.017904,-0.999497,0.999224,-0.036197,-0.015503,0.035382,0.998124,-0.049961,0.214177,1.154042,2.62495,-50.96502600211501,15.345899237127927,-27.655718059736785,-0.442833,0.015128,-0.158043,0.882435,0.949587,-0.292324,0.113275,0.265527,0.557842,-0.786325,0.018356,1.055412,2.706751,-4.739557239026103,-23.570521826633392,47.77752746591209,-0.11965,-0.170196,0.388365,0.897714,0.640412,0.738009,0.21264,-0.656552,0.669714,-0.34702,F,BuildA
0.348,0.154316,1.444871,2.422158,-2.795677243193223,1.0494576936397166,-2.085286013529376,0.024556,-0.00871,0.017967,-0.999499,0.999203,-0.036345,-0.016529,0.035489,0.998148,-0.049401,0.225019,1.146719,2.632215,-47.158637691783426,17.72791340657228,-29.56702312745516,-0.418193,0.035696,-0.171472,0.891313,0.938646,-0.335526,0.079785,0.275815,0.591424,-0.757722,0.012537,1.054176,2.705788,-5.37853340579669,-23.053941917835857,47.33150136066972,-0.12223,-0.164369,0.384284,0.900205,0.650617,0.732051,0.201989,-0.651687,0.674771,-0.346393,F,BuildA
0.402,0.155866,1.444518,2.424191,-2.3704721992679225,1.6650282130906315,-2.3244153171966526,0.020973,-0.014104,0.019976,-0.999481,0.998804,-0.040523,-0.027356,0.03934,0.998322,-0.042488,0.250573,1.125407,2.648406,-36.306311925535134,20.590434343103947,-29.51723331160932,-0.339691,0.086131,-0.184326,0.918268,0.917211,-0.397036,-0.032955,0.280005,0.701269,-0.655606,0.005638,1.051305,2.696467,-8.14663823918255,-22.77881992478886,42.458266030384074,-0.136234,-0.158396,0.340996,0.916555,0.717265,0.668241,0.197448,-0.581925,0.730324,-0.357756,F,BuildA
0.554,0.163046,1.44407,2.425416,-1.5801832896717294,5.3727647753072345,-2.7852054089854414,0.014909,-0.046516,0.023628,-0.998527,0.994556,-0.048574,-0.09219,0.0458,0.998439,-0.031973,0.27093,1.114873,2.65402,-32.86479881716037,18.33745865962661,-26.226828174574283,-0.306662,0.085488,-0.170932,0.932434,0.926948,-0.371198,-0.054588,0.266334,0.753481,-0.601109,0.004256,1.054815,2.687598,-12.224464695080794,-21.22201271449976,35.629377163943424,-0.155653,-0.142296,0.280332,0.93645,0.802331,0.569332,0.179236,-0.480737,0.794372,-0.371303,F,BuildA
0.611,0.16801,1.443963,2.424185,-1.2090146191184366,7.965765201445632,-3.1135688211814303,0.012408,-0.069143,0.026368,-0.997181,0.989048,-0.054302,-0.137242,0.050871,0.998302,-0.028392,0.283778,1.113437,2.655593,-30.56526433373303,20.037869931690363,-22.36434776538522,-0.287179,0.114299,-0.139233,0.940786,0.9351,-0.327625,-0.135092,0.196328,0.796285,-0.572176,0.006156,1.056624,2.684052,-13.23717373494616,-20.24585702156171,33.342452013004674,-0.158782,-0.1347,0.261125,0.942581,0.827339,0.535038,0.171008,-0.449486,0.813204,-0.369677,F,BuildA
0.678,0.173569,1.443475,2.421865,-0.589743604102524,10.82720048952717,-3.17842345993821,0.007738,-0.094165,0.027124,-0.995157,0.980794,-0.055443,-0.186998,0.052529,0.998409,-0.020509,0.296239,1.112907,2.657332,-28.260461255118464,20.799225884585603,-24.378015084710984,-0.271663,0.120407,-0.158311,0.941615,0.92088,-0.363556,-0.14074,0.232715,0.802274,-0.549727,0.010584,1.058981,2.681106,-14.11755733113608,-18.764830529321657,31.868303941571227,-0.161001,-0.122286,0.249543,0.947023,0.845549,0.512022,0.151263,-0.433269,0.823614,-0.365975,F,BuildA
0.745,0.179576,1.442768,2.418634,0.217921887350721,13.7892856593352,-3.654768976359145,0.001941,-0.120043,0.031886,-0.992255,0.969146,-0.063744,-0.238102,0.062812,0.997959,-0.011507,0.305594,1.115473,2.656672,-29.240390192560223,21.49265653358218,-19.725197630261903,-0.275223,0.135281,-0.116464,0.944663,0.93627,-0.294504,-0.191482,0.145574,0.821377,-0.551496,0.015275,1.061471,2.678149,-14.46163915342185,-18.119274015783443,31.8744957528366,-0.162412,-0.116076,0.249945,0.947458,0.848108,0.511329,0.138767,-0.43592,0.8223,-0.365782,F,BuildA
0.812,0.184473,1.443255,2.413992,1.0035454577851852,15.961575142571665,-3.692667164884494,-0.004195,-0.139043,0.033121,-0.989723,0.95914,-0.064394,-0.275506,0.066728,0.997771,-0.000906,0.315193,1.116143,2.654445,-28.385985406325787,23.085992411248107,-20.251441894256978,-0.270594,0.148739,-0.118696,0.943698,0.927576,-0.304523,-0.216493,0.143531,0.82538,-0.546028,0.020955,1.063194,2.673449,-14.710212929863417,-17.8199642593254,32.62779921774458,-0.16453,-0.111897,0.256197,0.945924,0.843685,0.521506,0.127388,-0.447864,0.814586,-0.368601,F,BuildA
0.878,0.184828,1.446149,2.408318,0.5790424736408296,15.52532347622059,-3.6294255930202666,-0.000727,-0.135159,0.032059,-0.990305,0.961409,-0.063299,-0.267744,0.063692,0.997944,-0.007226,0.322246,1.117371,2.650088,-28.62711327379727,23.953562298799287,-19.87344952797659,-0.272916,0.156324,-0.11303,0.942499,0.925574,-0.298388,-0.232975,0.127735,0.825483,-0.549784,0.023914,1.065842,2.668134,-14.774185324623105,-18.320337202370705,32.87991726480872,-0.166423,-0.115496,0.257451,0.944819,0.84076,0.524931,0.132554,-0.448047,0.812045,-0.373947,F,BuildA
0.945,0.182204,1.447674,2.400233,0.1154558654806045,14.062560042897424,-4.218444369484169,0.003506,-0.122365,0.036651,-0.991802,0.967367,-0.07356,-0.242467,0.071843,0.997289,-0.015925,0.326872,1.118752,2.642756,-29.463514057546224,23.97598303815686,-20.939762914103905,-0.28111,0.152332,-0.119973,0.939882,0.924803,-0.311165,-0.218896,0.139877,0.813167,-0.564973,0.024624,1.068692,2.659323,-15.049259801207004,-18.915952230087107,33.40604402391552,-0.170544,-0.11891,0.260452,0.942836,0.83605,0.531686,0.135389,-0.450568,0.806159,-0.383532,F,BuildA
1.011,0.179709,1.447232,2.389928,0.9566281849853896,13.545043447543827,-3.555031740578548,-0.004628,-0.118124,0.031785,-0.992479,0.970073,-0.061999,-0.234766,0.064186,0.997937,0.001678,0.330183,1.117718,2.634457,-28.63609786317221,23.94100451471561,-20.993643889579513,-0.27449,0.153528,-0.122249,0.94135,0.922969,-0.314441,-0.221935,0.145874,0.819421,-0.55432,0.022864,1.070787,2.64797,-15.027606174510362,-20.031659966030283,34.12958858841847,-0.173702,-0.127047,0.264758,0.939995,0.827525,0.541879,0.146869,-0.453606,0.799462,-0.393831,F,BuildA
1.066,0.177464,1.445697,2.380558,1.651265387950372,13.494825802848686,-3.537288095416231,-0.010677,-0.117866,0.032339,-0.992445,0.970124,-0.061672,-0.234641,0.066705,0.997681,0.013569,0.332068,1.118521,2.626539,-28.433902713593532,24.625423668115975,-21.440131396857264,-0.274209,0.158476,-0.124708,0.940289,0.918667,-0.321434,-0.229634,0.147612,0.818515,-0.555197,0.02077,1.07211,2.639603,-14.758712522686448,-20.137202912601616,34.4766022236892,-0.17216,-0.128115,0.26792,0.939237,0.823611,0.547393,0.14841,-0.459168,0.79716,-0.392046,F,BuildA
1.102,0.175479,1.44452,2.37296,1.8225196653882092,13.473492913003048,-3.4860747764394864,-0.012219,-0.117719,0.032068,-0.992454,0.970228,-0.060776,-0.234446,0.066529,0.997645,0.016703,0.332457,1.12,2.618992,-29.364655996527567,24.96564696904347,-20.572510664870315,-0.280827,0.161539,-0.114748,0.939082,0.921476,-0.306245,-0.238947,0.124788,0.815938,-0.564511,0.018416,1.073628,2.632429,-15.083603276118112,-20.29789803021269,34.89732700402092,-0.17563,-0.127906,0.270543,0.93787,0.820893,0.552397,0.144888,-0.46254,0.791921,-0.398645,F,BuildA
1.133,0.173361,1.443195,2.364617,1.910886205227772,13.591689874460794,-3.5885734368121502,-0.012845,-0.118776,0.033059,-0.992288,0.969599,-0.062557,-0.236569,0.06866,0.997484,0.017638,0.333272,1.121412,2.61062,-30.01552685921874,25.759575219052273,-20.998904179546788,-0.287442,0.165698,-0.114827,0.936342,0.918718,-0.310292,-0.244287,0.119778,0.808383,-0.576341,0.015975,1.075204,2.625136,-15.601153352330806,-20.32373673379215,34.755172183147714,-0.179705,-0.126918,0.268409,0.937846,0.823696,0.549069,0.14159,-0.457838,0.791325,-0.405203,F,BuildA
1.166,0.170486,1.442343,2.35576,1.9889288876298123,13.750574463833662,-3.8163672460099023,-0.013236,-0.120198,0.03513,-0.99204,0.968637,-0.066519,-0.239411,0.072882,0.997181,0.017815,0.333646,1.121778,2.601441,-30.45918517163858,26.303457969176645,-21.415560699404804,-0.292134,0.16819,-0.115844,0.934318,0.916584,-0.314738,-0.246603,0.118201,0.802476,-0.58486,0.013753,1.076639,2.617692,-16.12380005256405,-19.94463349552552,34.29173876612936,-0.182533,-0.123121,0.264275,0.938979,0.83,0.541245,0.134738,-0.45135,0.793681,-0.407864,F,BuildA
1.201,0.16688,1.441669,2.346254,2.211193515890994,13.70780919020437,-3.993774764991254,-0.014988,-0.119911,0.036891,-0.991986,0.968521,-0.069596,-0.239007,0.076785,0.996829,0.020889,0.332943,1.121523,2.591866,-30.92954250081517,26.638578020948778,-20.869781107765835,-0.295397,0.171369,-0.109452,0.933485,0.917306,-0.305587,-0.255277,0.1031,0.801522,-0.58901,0.0111,1.077806,2.610492,-16.515560253174193,-19.45883348849174,34.0379312361989,-0.184312,-0.118486,0.262278,0.939787,0.834343,0.536648,0.12602,-0.449295,0.794478,-0.408581,F,BuildA
1.234,0.162366,1.440933,2.336269,2.497700008235562,13.323603901555051,-4.157923687443742,-0.017426,-0.11669,0.03855,-0.992267,0.969795,-0.072438,-0.232919,0.080571,0.99642,0.025585,0.33223,1.120908,2.580883,-31.069391193433734,27.40713350198383,-20.922166624636688,-0.297315,0.177207,-0.107563,0.932004,0.914056,-0.30587,-0.266355,0.095125,0.800069,-0.592319,0.007645,1.078977,2.603168,-16.668766805930495,-19.07553211986198,33.779246970771,-0.184412,-0.115346,0.260505,0.940651,0.837665,0.532631,0.120919,-0.447546,0.796259,-0.407031,F,BuildA
