Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.109474,1.571232,2.913586,2.3062851004087257,0.5798234610390869,2.498008057976584,-0.02023,-0.004619,-0.021691,-0.999549,0.999016,0.043548,-0.008356,-0.043175,0.998241,0.040643,0.041076,1.304039,3.086592,-57.30552295553351,23.285924356627728,-17.049327063466297,-0.490698,0.105526,-0.031706,0.864335,0.975718,-0.158373,-0.151304,-0.048753,0.51642,-0.854947,-0.219343,1.331927,3.093785,-57.57289233067432,-8.501142051618364,8.061159450786564,-0.4836,-0.031044,0.02583,0.874357,0.996738,0.075195,0.029304,-0.015144,0.530927,-0.847282,F,BuildB
0.05,-0.109262,1.57144,2.913752,2.1628644111571935,0.5435423313978467,2.2317186882153814,-0.018962,-0.004374,-0.019381,-0.999623,0.999211,0.038914,-0.00801,-0.038582,0.99853,0.03808,0.041618,1.303443,3.086572,-57.14398523423889,23.70033329780717,-17.3014985328618,-0.489871,0.10789,-0.032183,0.864495,0.974648,-0.161348,-0.15501,-0.050061,0.517982,-0.853925,-0.218315,1.330574,3.093977,-57.20310077391178,-8.161263076363056,8.253751553708092,-0.48076,-0.027951,0.029046,0.875925,0.99675,0.077761,0.021038,-0.024009,0.536053,-0.843843,F,BuildB
0.082,-0.109128,1.571503,2.913933,2.102741626473749,0.539318034775134,2.0788726532588493,-0.018431,-0.004372,-0.018051,-0.999658,0.99931,0.036251,-0.008077,-0.035928,0.998669,0.037008,0.041886,1.303033,3.086608,-57.068568534651945,24.059685654366113,-17.579887144650822,-0.489688,0.109561,-0.032912,0.864361,0.973827,-0.164197,-0.157166,-0.050405,0.518245,-0.853746,-0.217726,1.329942,3.094087,-57.113825424594694,-8.01820983437642,7.891737621932326,-0.479957,-0.028449,0.026952,0.876416,0.996929,0.074551,0.023995,-0.019934,0.53783,-0.842818,F,BuildB
0.116,-0.108965,1.571659,2.914091,2.03438998684798,0.5734315480999191,1.979067713660777,-0.017836,-0.004696,-0.017178,-0.999682,0.999366,0.034512,-0.008776,-0.034177,0.998774,0.035821,0.042057,1.302642,3.086747,-56.99284358279801,24.218405717257124,-17.636858763710745,-0.489237,0.110667,-0.032831,0.864478,0.97335,-0.165048,-0.159215,-0.051522,0.519138,-0.853136,-0.217671,1.329451,3.094069,-57.03081110617157,-7.975084672325581,8.07674040383038,-0.47936,-0.027413,0.028616,0.876723,0.996859,0.076458,0.020632,-0.023895,0.538791,-0.842101,F,BuildB
0.149,-0.108846,1.571819,2.914277,1.9917422369328597,0.6211559011947743,1.9318746786896703,-0.017469,-0.005126,-0.016761,-0.999694,0.999386,0.03369,-0.009664,-0.033332,0.998828,0.0351,0.041996,1.302276,3.087139,-56.86750110576646,24.213902555435848,-17.57543039681044,-0.488264,0.111147,-0.032664,0.864973,0.973159,-0.165045,-0.16038,-0.05203,0.521063,-0.851931,-0.21749,1.329065,3.094318,-56.9045774257873,-7.792581162951814,8.016922476124327,-0.478339,-0.02637,0.029024,0.877299,0.996925,0.076153,0.018503,-0.025697,0.540698,-0.840824,F,BuildB
0.183,-0.108778,1.571883,2.914465,1.981103295419055,0.7409032775378863,1.900540371363429,-0.017392,-0.006177,-0.01647,-0.999694,0.999381,0.033146,-0.011776,-0.032716,0.998853,0.034977,0.041896,1.301967,3.087201,-56.75495765143122,24.388173744496463,-17.72674812755262,-0.487642,0.112045,-0.033314,0.865183,0.972672,-0.166922,-0.161389,-0.05163,0.52219,-0.851265,-0.217549,1.328846,3.094477,-56.91177116629145,-7.725751532262027,7.8079126075468,-0.478329,-0.026725,0.027697,0.877337,0.997037,0.074166,0.020396,-0.023033,0.540868,-0.840792,F,BuildB
0.215,-0.108733,1.571803,2.914594,2.0237306538102446,0.8571644888637526,1.9072507219640304,-0.017781,-0.007184,-0.016508,-0.99968,0.999352,0.03326,-0.013776,-0.032749,0.998823,0.035788,0.041902,1.301925,3.08714,-56.71464479420049,24.56787080663717,-18.098629620896357,-0.487766,0.111901,-0.035447,0.865047,0.972444,-0.170489,-0.159019,-0.047837,0.521655,-0.851814,-0.218278,1.328628,3.094343,-56.88397160061005,-7.89911636387556,8.098278515496762,-0.478228,-0.026863,0.029219,0.877338,0.996849,0.076963,0.019189,-0.025577,0.540888,-0.840706,F,BuildB
0.249,-0.108764,1.571638,2.914753,2.110162240628465,0.9223562886198128,1.9014521926235768,-0.018544,-0.007741,-0.016441,-0.999663,0.99934,0.033158,-0.014868,-0.032584,0.998772,0.03733,0.04148,1.301926,3.086999,-56.75643838078285,24.50920964109697,-17.98697597632272,-0.487943,0.111848,-0.03476,0.864982,0.972564,-0.169285,-0.159571,-0.049017,0.521407,-0.851899,-0.21876,1.328802,3.094252,-56.87117670170136,-8.05526921106036,8.239221372814448,-0.478204,-0.027481,0.029657,0.877317,0.996731,0.07832,0.019855,-0.025753,0.540882,-0.840704,F,BuildB
0.283,-0.10885,1.571476,2.915055,2.2283482520080655,0.9212733571950324,1.8738753087167133,-0.019573,-0.007719,-0.016192,-0.999648,0.999356,0.032675,-0.014799,-0.032071,0.998709,0.039382,0.041231,1.301972,3.087008,-56.80789108329674,24.48758724084084,-17.96157177465743,-0.488286,0.111688,-0.034545,0.864818,0.972665,-0.168822,-0.159444,-0.049321,0.520767,-0.852273,-0.218893,1.328993,3.094393,-56.94098777528047,-8.130457635988485,8.195116584533922,-0.478744,-0.028182,0.028947,0.877024,0.996736,0.077759,0.021716,-0.023791,0.539932,-0.841372,F,BuildB
0.316,-0.109133,1.571148,2.915195,2.424747785325025,0.9359239339864248,1.7958164763070812,-0.021283,-0.007833,-0.015494,-0.999623,0.999397,0.031309,-0.015001,-0.030642,0.998614,0.042793,0.041077,1.302017,3.087216,-56.79108584033425,24.4516176955173,-17.98662889946568,-0.488177,0.111344,-0.034925,0.864908,0.972765,-0.169126,-0.158506,-0.048297,0.520926,-0.852234,-0.219366,1.329066,3.094326,-56.98574923174912,-8.436917076785756,8.476637556063594,-0.479234,-0.029312,0.029782,0.876692,0.996508,0.080314,0.022849,-0.024125,0.538896,-0.842027,F,BuildB
