Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-1.028216,1.660705,2.201878,40.03270713716238,160.27651456596976,-9.08203635467572,-0.014851,0.927447,-0.348913,0.133721,-0.963797,-0.12086,-0.237675,0.065768,0.756078,-0.651169,-0.945848,0.865935,2.153127,42.74561244478339,-169.7541058846733,12.675586867013662,-0.070045,-0.925433,0.36994,0.042575,-0.986562,0.161144,0.026976,0.098143,0.716476,-0.690674,-1.174489,0.902821,2.157693,43.736408213179374,164.55199349089088,-8.363398451988362,-0.017131,0.920825,-0.377206,0.097484,-0.980407,-0.105092,-0.166609,0.041995,0.714844,-0.698022,M,BuildTutorial
0.097,-1.020358,1.660765,2.201814,39.66434936360167,156.1721681901303,-11.358262093295531,-0.021388,0.92284,-0.349546,0.160395,-0.947632,-0.151607,-0.281085,0.072655,0.75472,-0.652012,-0.94074,0.8654,2.152265,43.42095327574496,-170.50212203262817,12.949161652458988,-0.073974,-0.923424,0.374969,0.034857,-0.986626,0.162758,0.008899,0.110478,0.707853,-0.697667,-1.173064,0.902021,2.157297,44.075774070960705,164.18885757832672,-8.655937578859424,-0.017826,0.919403,-0.380215,0.099081,-0.979731,-0.108123,-0.168635,0.042565,0.710238,-0.702673,M,BuildTutorial
0.115,-1.019088,1.660416,2.201613,39.81430788153905,155.722508013126,-11.524762666478576,-0.021055,0.921767,-0.351053,0.163293,-0.945784,-0.153464,-0.286254,0.075834,0.752637,-0.654054,-0.939458,0.86558,2.151557,43.4298729309856,-170.7259285091515,13.00783833729199,-0.07517,-0.923424,0.374912,0.032851,-0.986541,0.163459,0.004306,0.114195,0.707582,-0.697343,-1.172494,0.901794,2.157163,44.160577954307435,164.0089092131926,-8.621895322567044,-0.01684,0.918984,-0.380887,0.100548,-0.979213,-0.107547,-0.171976,0.045643,0.709283,-0.703445,M,BuildTutorial
0.148,-1.018512,1.659883,2.201303,40.1038519221752,155.7913992149691,-11.395519196190383,-0.019647,0.921098,-0.353149,0.162724,-0.94627,-0.151125,-0.285892,0.078737,0.7498,-0.656963,-0.938437,0.865822,2.151242,43.40127574670712,-170.9536667395955,13.122917605005169,-0.076871,-0.9235,0.374564,0.030673,-0.9863,0.164959,-0.000933,0.119003,0.707585,-0.696536,-1.171741,0.901701,2.156695,44.19523342231248,163.81058916043943,-8.577866830167288,-0.01578,0.918706,-0.381152,0.102248,-0.978593,-0.106939,-0.175842,0.048949,0.708949,-0.70356,M,BuildTutorial
0.181,-1.01847,1.659088,2.20071,40.47565015079402,156.25909175243513,-10.961786253327638,-0.016871,0.920799,-0.355407,0.159785,-0.948368,-0.144648,-0.282268,0.082507,0.746803,-0.659908,-0.937287,0.865913,2.150786,43.479726280780085,-171.15347087543844,13.194361783029484,-0.078022,-0.923258,0.375075,0.028737,-0.986174,0.165626,-0.005465,0.122512,0.706462,-0.697067,-1.171139,0.901746,2.156174,44.18610490698801,163.66509028136363,-8.491581138999143,-0.014617,0.918615,-0.381021,0.103711,-0.978061,-0.105888,-0.179402,0.052177,0.709219,-0.703055,M,BuildTutorial
0.214,-1.018731,1.658479,2.199863,40.723138697364504,156.87408588608147,-10.505915899664204,-0.01464,0.921017,-0.356655,0.155922,-0.950948,-0.138187,-0.27677,0.084254,0.745166,-0.661535,-0.935755,0.865812,2.150015,43.62348843796776,-171.4189230357906,13.274851538693266,-0.079399,-0.922816,0.376062,0.026166,-0.986022,0.166221,-0.011425,0.126861,0.704547,-0.698227,-1.170496,0.90182,2.155396,44.18489792645782,163.48594729003196,-8.339741896593043,-0.012806,0.918473,-0.380894,0.105653,-0.977347,-0.10401,-0.184323,0.05696,0.709512,-0.702388,M,BuildTutorial
0.247,-1.01928,1.657942,2.199073,40.93897892689142,157.589618719215,-10.045365859098942,-0.012763,0.921421,-0.357664,0.151321,-0.953878,-0.131764,-0.26973,0.084723,0.743828,-0.66298,-0.934379,0.865556,2.149182,43.761943499716665,-171.70955912045324,13.287258052841912,-0.08032,-0.922434,0.376969,0.023623,-0.985981,0.165991,-0.016976,0.13037,0.702886,-0.699253,-1.169955,0.902014,2.154476,44.095590411559776,163.34536971097936,-8.22097271733725,-0.011512,0.918637,-0.380089,0.107268,-0.976722,-0.102694,-0.188329,0.060391,0.7108,-0.700797,M,BuildTutorial
0.28,-1.020601,1.657035,2.198827,41.13456007992126,158.5750631603915,-9.464083416515566,-0.010813,0.922195,-0.358365,0.144963,-0.957738,-0.123843,-0.259619,0.083956,0.742915,-0.6641,-0.933224,0.865018,2.148448,43.86627344923036,-172.05186275330672,13.135369931955006,-0.080126,-0.922278,0.377534,0.021247,-0.986257,0.16384,-0.021309,0.131753,0.702097,-0.699787,-1.169593,0.902031,2.15346,44.028506143262746,163.32968302461563,-8.032530571147065,-0.010043,0.918851,-0.37938,0.108088,-0.976432,-0.100469,-0.191013,0.063556,0.71194,-0.699359,M,BuildTutorial
0.314,-1.021991,1.65634,2.19839,41.39183279021526,159.67107759647516,-8.748062344463472,-0.00804,0.922862,-0.359439,0.138075,-0.961741,-0.114098,-0.249069,0.08442,0.741478,-0.665645,-0.93247,0.86466,2.147926,43.92240494196662,-172.27441968463884,13.08581938333814,-0.080409,-0.922174,0.377818,0.019555,-0.986304,0.163079,-0.024695,0.133527,0.701576,-0.699973,-1.169386,0.902231,2.152322,43.99138021575797,163.35004495444505,-7.8535705647452705,-0.008727,0.919002,-0.378914,0.108555,-0.97628,-0.098306,-0.19291,0.066226,0.712696,-0.69834,M,BuildTutorial
0.347,-1.023679,1.655516,2.197744,41.65887709493853,161.00802413057764,-7.832438823783515,-0.004432,0.92369,-0.360427,0.129883,-0.966222,-0.101814,-0.236749,0.08544,0.740146,-0.666997,-0.931619,0.86418,2.147135,44.13081388932198,-172.33756087024128,13.202367536276684,-0.081365,-0.92144,0.379459,0.018424,-0.986081,0.163929,-0.027796,0.135964,0.698782,-0.702295,-1.169336,0.902302,2.151179,43.93556865784353,163.38671679419178,-7.780804633943882,-0.008342,0.919217,-0.378398,0.108558,-0.976291,-0.097492,-0.193263,0.06682,0.71349,-0.697472,M,BuildTutorial
