Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.077499,1.60054,2.626813,8.041211157518422,10.730804419931657,-5.864578564196765,-0.064945,-0.096726,0.057354,-0.991533,0.974709,-0.101174,-0.199264,0.126301,0.984985,0.117694,0.16042,1.344201,2.883402,-13.018530524143396,31.4322382712014,-6.563376634900224,-0.124353,0.262437,-0.024093,0.9566,0.861093,-0.111365,-0.496102,-0.019174,0.967912,-0.250558,0.062992,1.40455,2.856988,-47.81630686844524,-3.1600341203477,-19.55904259283469,-0.394949,-0.093653,-0.166236,0.898671,0.927189,-0.224806,0.299637,0.37276,0.632761,-0.678722,F,BuildTutorial
0.117,0.081565,1.599863,2.628015,8.114508011081032,12.504174347417129,-6.607791090133524,-0.063955,-0.112503,0.064838,-0.989469,0.966278,-0.11392,-0.23093,0.142701,0.983412,0.111974,0.162142,1.345799,2.883287,-13.33296400439157,31.62062063859516,-6.136301563920188,-0.126022,0.264245,-0.019567,0.955987,0.859584,-0.104012,-0.500297,-0.02919,0.967471,-0.251292,0.064214,1.405023,2.857749,-47.81371610352801,-3.263120403283213,-18.88719940451267,-0.395326,-0.092142,-0.161321,0.899557,0.930971,-0.217382,0.293323,0.363087,0.635387,-0.681507,F,BuildTutorial
0.146,0.081975,1.598338,2.628255,8.979924542598805,12.736457199559736,-5.806318563617053,-0.072101,-0.114376,0.058853,-0.989068,0.966909,-0.099925,-0.234739,0.132912,0.982676,0.129163,0.162652,1.346462,2.88291,-13.531765354089352,31.78581179599486,-6.34107017759565,-0.128176,0.26525,-0.020611,0.9554,0.858435,-0.107381,-0.501556,-0.028615,0.966292,-0.255853,0.064478,1.405622,2.857319,-48.03506452915459,-3.186561058360549,-18.982999404625353,-0.397101,-0.092141,-0.161728,0.898702,0.930708,-0.217512,0.294059,0.363869,0.632309,-0.683948,F,BuildTutorial
0.18,0.081686,1.597132,2.62875,9.601954396357662,12.746853900145288,-5.313251190378875,-0.077961,-0.114355,0.055183,-0.988838,0.967756,-0.091303,-0.234762,0.126964,0.981754,0.141561,0.162625,1.347023,2.882547,-13.621558149588797,31.79852201892494,-6.299562463911315,-0.128828,0.265336,-0.020033,0.955301,0.858391,-0.106641,-0.50179,-0.03009,0.966004,-0.256769,0.064643,1.405893,2.857013,-48.072519143925646,-3.2267284453221214,-18.84673917175787,-0.397449,-0.092029,-0.160785,0.898729,0.931358,-0.21585,0.293226,0.362157,0.632366,-0.684803,F,BuildTutorial
0.213,0.081139,1.596308,2.629232,10.071045048383509,12.61261178453582,-4.972034383222869,-0.082414,-0.113101,0.052579,-0.988763,0.968888,-0.085334,-0.232326,0.122618,0.980887,0.151082,0.16262,1.347483,2.882098,-13.62659482480645,31.861123854748,-6.178586298911397,-0.1286,0.26599,-0.018942,0.955172,0.857781,-0.104598,-0.50326,-0.032227,0.966207,-0.255747,0.064462,1.406385,2.856907,-48.094686561938914,-3.2456743262231993,-18.637164807248435,-0.397765,-0.091477,-0.159199,0.898928,0.932575,-0.213443,0.291111,0.358989,0.632877,-0.685998,F,BuildTutorial
0.247,0.080255,1.595956,2.629608,10.409563118016864,12.362147478550746,-4.040771493103578,-0.086352,-0.11034,0.044667,-0.989128,0.97166,-0.069308,-0.225994,0.10742,0.981096,0.160969,0.162392,1.347952,2.881728,-13.715608027602672,31.951263181709553,-6.033011818708958,-0.129015,0.26684,-0.017411,0.954908,0.856987,-0.102105,-0.505122,-0.0356,0.966104,-0.255686,0.063693,1.406648,2.856768,-48.13364551174202,-3.377176371739213,-18.380430277427863,-0.398095,-0.091663,-0.157628,0.899039,0.933502,-0.210447,0.29032,0.35641,0.633347,-0.686909,F,BuildTutorial
0.28,0.078351,1.595809,2.630115,10.684904539146787,11.790691139499677,-3.4254421330761713,-0.089518,-0.104988,0.03916,-0.989662,0.974888,-0.058714,-0.214815,0.096307,0.980906,0.168963,0.161818,1.348372,2.881454,-13.96565875046791,31.936530186223894,-6.106687594776315,-0.13126,0.266451,-0.017433,0.95471,0.857399,-0.103237,-0.504191,-0.036661,0.964934,-0.259921,0.063127,1.40663,2.856464,-48.2642542766007,-3.375786061024583,-18.30299461549836,-0.399188,-0.091535,-0.156972,0.898683,0.933962,-0.209056,0.289845,0.355215,0.632018,-0.688749,F,BuildTutorial
0.312,0.077205,1.595787,2.630724,10.74976071598675,11.372947563628417,-2.4017163986400827,-0.091123,-0.100581,0.030042,-0.990292,0.977962,-0.041169,-0.204685,0.077831,0.981588,0.174434,0.161416,1.348394,2.881649,-14.165508463837307,31.864537778703184,-6.230552184467866,-0.133195,0.26556,-0.018062,0.954678,0.858303,-0.10523,-0.502237,-0.036255,0.963866,-0.26391,0.062447,1.406532,2.856225,-48.49877752532542,-3.573213848956089,-18.20719036030632,-0.400841,-0.093019,-0.156833,0.897818,0.933502,-0.207044,0.292759,0.356187,0.62946,-0.690587,F,BuildTutorial
0.346,0.076445,1.595691,2.63104,10.758235816547248,11.133717740857426,-1.8991043572031885,-0.09169,-0.098113,0.025514,-0.990614,0.979446,-0.032557,-0.199062,0.068541,0.981884,0.176652,0.160906,1.348222,2.882068,-14.157944632405624,31.638429884567923,-6.158687634282025,-0.132931,0.263765,-0.017744,0.955219,0.860226,-0.104025,-0.499189,-0.036226,0.964029,-0.263317,0.062054,1.406267,2.85667,-48.47018647458072,-3.69729182026752,-18.198771525961,-0.400453,-0.093929,-0.15721,0.897831,0.932925,-0.207068,0.294575,0.357524,0.629845,-0.689544,F,BuildTutorial
0.38,0.075911,1.595971,2.631242,10.634282891481766,10.989985683468372,-1.82919030717038,-0.090709,-0.096807,0.024693,-0.990854,0.980038,-0.031372,-0.196322,0.066497,0.982324,0.174977,0.160944,1.347867,2.882334,-14.032927774527964,31.702821013372372,-6.116274883106119,-0.131805,0.264443,-0.017618,0.95519,0.859519,-0.103367,-0.500542,-0.036053,0.964634,-0.261115,0.062237,1.405919,2.85716,-48.36871259597567,-3.5420994754936426,-18.2981267400318,-0.399786,-0.092943,-0.157479,0.898183,0.933124,-0.208576,0.292875,0.357205,0.630743,-0.688889,F,BuildTutorial
