Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.025507,1.481084,2.497475,-2.8350818920338656,-6.488255114853034,-3.6447894606786977,0.022887,0.05733,0.03314,-0.997543,0.99123,-0.063493,0.115895,0.068741,0.996756,-0.041862,-0.128988,0.713641,2.628973,38.95835919677669,4.323225742076713,-51.76815449305936,0.284274,0.177463,-0.422588,0.84209,0.579853,-0.610818,-0.539141,0.81261,0.481216,0.328781,0.119663,0.699458,2.671875,33.2526856124599,-12.310569678356776,21.443740881205677,0.260399,-0.153872,0.20738,0.930328,0.866634,0.305725,0.394306,-0.465998,0.778372,0.420694,O,BuildA
0.049,0.022855,1.480762,2.500064,-2.766713031242943,-7.86510243642405,-3.350946233232182,0.02207,0.069237,0.030816,-0.99688,0.988513,-0.058385,0.139403,0.064497,0.997127,-0.039735,-0.131819,0.712543,2.625786,39.06014067663569,3.66299137483098,-51.539107844701434,0.287806,0.17239,-0.419152,0.843659,0.589186,-0.608013,-0.532146,0.806473,0.482958,0.341105,0.119514,0.699386,2.670043,32.93171998530754,-12.78000285733584,21.17512073285728,0.257277,-0.15667,0.206117,0.93101,0.865941,0.303178,0.39778,-0.464408,0.782649,0.414471,O,BuildA
0.084,0.021697,1.480267,2.501214,-2.5120262150313786,-8.388414958634575,-3.375605980891531,0.019698,0.073732,0.03097,-0.996603,0.987209,-0.058825,0.148182,0.064634,0.997306,-0.034694,-0.133697,0.712433,2.62473,39.18068310075619,3.372987349805643,-51.69309784969364,0.289533,0.171065,-0.419429,0.8432,0.589632,-0.608268,-0.531361,0.806384,0.4805,0.344769,0.120162,0.699983,2.669174,32.633503980099896,-12.78645263960247,21.10142067533663,0.254912,-0.156183,0.205393,0.931902,0.866841,0.303186,0.395809,-0.462438,0.785668,0.410947,O,BuildA
0.116,0.020622,1.479678,2.502157,-2.2003271191634615,-8.84419827720658,-3.445402983191079,0.016817,0.07763,0.031447,-0.996344,0.985969,-0.060054,0.155749,0.065276,0.997457,-0.028628,-0.134854,0.711621,2.623382,39.442329292267445,3.2276152994912346,-51.62724044502775,0.292107,0.170745,-0.418297,0.84294,0.591747,-0.605447,-0.532231,0.80495,0.479402,0.349612,0.120759,0.70023,2.668685,32.72720152842377,-12.67382450350341,20.88938734466398,0.256172,-0.154911,0.203461,0.932192,0.869213,0.299961,0.393055,-0.458697,0.785959,0.414567,O,BuildA
0.149,0.019618,1.479268,2.503206,-1.9526653951092492,-9.197933814540749,-3.5743880776757395,0.014476,0.08066,0.032448,-0.996108,0.984882,-0.062308,0.161631,0.066979,0.997475,-0.023606,-0.135443,0.710591,2.621925,39.776545176043854,3.0196857270412463,-51.534471113025674,0.295484,0.170147,-0.416719,0.842665,0.594791,-0.601757,-0.533021,0.80286,0.47807,0.356182,0.121482,0.700782,2.668609,32.59110591694369,-12.489033418240098,20.49410427789891,0.255906,-0.152356,0.199767,0.933484,0.873761,0.294981,0.386688,-0.450936,0.789211,0.416896,O,BuildA
0.182,0.018912,1.478922,2.504301,-1.7543981895245886,-9.398274222380078,-3.5477541161151636,0.012715,0.082347,0.032101,-0.996006,0.984377,-0.061851,0.164853,0.066039,0.997616,-0.020042,-0.137011,0.710231,2.621518,39.94803150105752,2.8150241559540707,-51.57227947109511,0.297444,0.16934,-0.416278,0.842356,0.596074,-0.60057,-0.532928,0.802046,0.47648,0.360123,0.121773,0.702102,2.668793,32.19669209399591,-12.596262810941976,20.70406918294661,0.252187,-0.153211,0.201531,0.933977,0.871823,0.299176,0.387839,-0.453727,0.791574,0.40932,O,BuildA
0.216,0.018304,1.47862,2.505547,-1.4756981237514606,-9.465395495763344,-3.4795376452150717,0.010323,0.082852,0.031316,-0.996016,0.98431,-0.060672,0.165691,0.064093,0.997825,-0.015375,-0.137405,0.709893,2.620723,39.95002169673647,2.577395719677937,-51.76446433766581,0.29804,0.1681,-0.417071,0.842002,0.595588,-0.602149,-0.531688,0.80255,0.474448,0.36168,0.121858,0.704592,2.669554,31.361365071035717,-12.554104481086108,20.80694493820364,0.24523,-0.15205,0.201881,0.935942,0.87225,0.303323,0.383634,-0.452472,0.798213,0.39765,O,BuildA
0.249,0.01779,1.478242,2.506608,-1.1634586433465337,-9.43416449650026,-3.574427137372793,0.007549,0.082507,0.031915,-0.996051,0.984348,-0.062332,0.164844,0.064823,0.997849,-0.009772,-0.139058,0.710701,2.62164,39.86478834778744,2.44478888970343,-51.65593050390217,0.298049,0.166543,-0.416025,0.842825,0.598373,-0.601997,-0.528724,0.800548,0.47618,0.363835,0.121587,0.707978,2.671119,30.529782609725093,-12.471242173493286,20.58149688458896,0.238795,-0.149855,0.199458,0.938476,0.87552,0.302804,0.376529,-0.445942,0.806387,0.388427,O,BuildA
0.282,0.017421,1.477663,2.507557,-0.7718550827597472,-9.2901926226018,-3.6134492610152007,0.004157,0.081153,0.031969,-0.99618,0.984784,-0.063019,0.161952,0.064368,0.997921,-0.003094,-0.14022,0.711279,2.623092,39.66035404576083,2.213120761742905,-51.28577832741415,0.297903,0.163157,-0.412929,0.845058,0.60574,-0.600687,-0.52178,0.795107,0.481488,0.368747,0.120569,0.711358,2.673091,29.812629135331857,-12.599206979238543,20.349287593894346,0.232934,-0.149534,0.197456,0.940421,0.877301,0.301721,0.373239,-0.441047,0.813506,0.379059,O,BuildA
0.315,0.017081,1.477315,2.508381,-0.5073298000902262,-9.205935190781345,-3.6728930540048417,0.001839,0.08035,0.032298,-0.996242,0.985001,-0.064058,0.160215,0.064649,0.997907,0.001526,-0.14023,0.711407,2.623302,39.53860566475047,2.183251733821787,-51.008500933390415,0.297499,0.161791,-0.410943,0.84643,0.6099,-0.599404,-0.518399,0.791934,0.485241,0.370651,0.119567,0.715158,2.67536,28.96079395436236,-12.583404526124204,19.638375532064327,0.226806,-0.146941,0.191129,0.94363,0.883757,0.294055,0.364014,-0.427363,0.824058,0.371872,O,BuildA
