Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,-0.020452,1.466641,2.63037,2.820942676965479,5.4316905486908045,-2.0954171032356825,-0.023717,-0.04781,0.019425,-0.998386,0.994674,-0.036519,-0.096388,0.041054,0.99812,0.045499,-0.337755,0.702217,2.817843,40.94394038195559,50.92914299975005,-31.1177673113902,0.196158,0.472737,-0.371741,0.7745,0.276657,-0.390364,-0.87811,0.761289,0.646662,-0.047623,0.08366,0.657355,2.646651,50.85043863620604,-36.26334838804667,37.817037025997784,0.294916,-0.398114,0.404538,0.768686,0.355708,0.387106,0.850659,-0.856746,0.498747,0.13129,O,BuildB
0.05,-0.020627,1.466055,2.631153,3.0550435267732934,5.824963660637033,-2.0876023470589273,-0.025693,-0.051269,0.019541,-0.998163,0.993979,-0.036376,-0.103353,0.041645,0.997916,0.049288,-0.3379,0.702417,2.819472,40.7672838855795,51.254657734558016,-31.063447769933415,0.194009,0.474718,-0.371458,0.773965,0.273322,-0.390793,-0.878963,0.759191,0.648759,-0.052364,0.083501,0.6571,2.645616,50.93076783746487,-36.655191294406144,37.720719418906185,0.294467,-0.400598,0.404995,0.767326,0.351001,0.385601,0.853294,-0.857452,0.498538,0.127424,O,BuildB
0.083,-0.020631,1.465804,2.631456,3.160513977873902,5.993398879304427,-2.0852625940638663,-0.026584,-0.052751,0.019606,-0.998061,0.993666,-0.03633,-0.106339,0.04194,0.997818,0.050997,-0.337352,0.701966,2.819657,40.7761919325018,51.075407834286224,-31.15814465612075,0.194265,0.473674,-0.371818,0.774368,0.274769,-0.391812,-0.878058,0.759885,0.648025,-0.051376,0.083837,0.656898,2.645142,51.0983763630769,-36.63390103195282,37.53447678019492,0.296443,-0.400192,0.403893,0.767358,0.353434,0.382594,0.853643,-0.85713,0.497983,0.131687,O,BuildB
0.117,-0.02064,1.465714,2.631861,3.237391383670595,6.171803393100785,-2.106376136068065,-0.027213,-0.054321,0.019867,-0.997955,0.993309,-0.036695,-0.109502,0.042608,0.99773,0.052156,-0.337064,0.701601,2.819941,40.84951106609984,50.97068603931192,-31.21456081502136,0.194919,0.473115,-0.372216,0.774354,0.275235,-0.392016,-0.877821,0.760892,0.646924,-0.050329,0.084275,0.656874,2.644814,51.20749443310476,-36.40532944091572,37.449371075713394,0.298358,-0.39858,0.402859,0.767998,0.357678,0.380951,0.85261,-0.856629,0.497374,0.137134,O,BuildB
0.15,-0.020565,1.465637,2.632074,3.295100104754316,6.351020385659939,-2.056058892114123,-0.027709,-0.055878,0.019499,-0.997863,0.992995,-0.035818,-0.112599,0.042011,0.997704,0.05312,-0.336763,0.701486,2.819981,40.93419924430819,51.249260381280024,-31.07245875787419,0.195234,0.474815,-0.371956,0.773359,0.272399,-0.389911,-0.879641,0.760711,0.647065,-0.051249,0.084522,0.657095,2.644605,51.19915107620721,-36.01258676915364,37.465520866247665,0.299619,-0.395977,0.401933,0.769338,0.363304,0.38116,0.850134,-0.85573,0.497356,0.142704,O,BuildB
0.183,-0.020532,1.46556,2.632273,3.374538820058086,6.543311745158761,-2.081827069312399,-0.028355,-0.05757,0.019809,-0.997742,0.992587,-0.036263,-0.116003,0.042793,0.997607,0.054302,-0.335668,0.701216,2.819242,40.95289649917164,51.74264850410927,-31.059463050010745,0.193824,0.478131,-0.372756,0.771282,0.264888,-0.389653,-0.882046,0.760346,0.646971,-0.057467,0.084648,0.657307,2.644647,51.138481564561815,-35.698741721166556,37.540468953547744,0.300008,-0.393985,0.401546,0.77041,0.367073,0.382313,0.847994,-0.855108,0.497511,0.145853,O,BuildB
0.216,-0.020531,1.465395,2.632396,3.4684621429828155,6.745842340579326,-2.110216743382761,-0.029123,-0.059354,0.020154,-0.997609,0.992142,-0.036755,-0.119598,0.043669,0.997491,0.055714,-0.335325,0.701389,2.819431,40.84418987617137,52.231614334841105,-30.953685494342405,0.191868,0.481168,-0.372572,0.769971,0.259336,-0.389098,-0.883939,0.75838,0.648754,-0.063074,0.084506,0.657401,2.64469,51.01363623239632,-35.44896858690974,37.56795503257761,0.299856,-0.392211,0.400937,0.771691,0.37084,0.383585,0.845778,-0.854013,0.498672,0.148288,O,BuildB
0.249,-0.020393,1.465209,2.632368,3.5754588768199818,6.945056376809797,-2.0583390621523603,-0.030047,-0.06109,0.019809,-0.997483,0.991751,-0.035848,-0.123063,0.04319,0.99741,0.057522,-0.33489,0.7014,2.819622,40.783577537996734,52.52015055968485,-30.975967534284067,0.190385,0.483102,-0.373036,0.768902,0.254913,-0.389706,-0.884957,0.757607,0.649195,-0.067655,0.08485,0.657349,2.64436,51.021638934848625,-35.202515366450704,37.602975636727784,0.300658,-0.390653,0.400536,0.772377,0.373922,0.383824,0.844311,-0.853635,0.498352,0.151501,O,BuildB
0.283,-0.020329,1.465046,2.632354,3.626371498692379,7.155017206810127,-2.067130081373905,-0.030449,-0.062927,0.019968,-0.997354,0.991283,-0.035999,-0.126737,0.043663,0.997348,0.058224,-0.335178,0.701313,2.820326,40.73012974003715,52.57505953967843,-31.09024827390007,0.189327,0.483624,-0.373746,0.76849,0.252843,-0.391314,-0.884841,0.757566,0.648939,-0.070513,0.084956,0.657375,2.644235,50.97687780735918,-35.0917762742005,37.6242647211198,0.300638,-0.389902,0.40034,0.772866,0.375409,0.384379,0.843399,-0.853257,0.49869,0.152518,O,BuildB
0.316,-0.020196,1.46496,2.632265,3.6738020211929734,7.343040617921229,-2.0635476323796915,-0.030831,-0.064569,0.020013,-0.997236,0.990861,-0.035933,-0.130015,0.043896,0.997298,0.058907,-0.335606,0.701364,2.821343,40.67988374643813,52.55647759604934,-31.088674229290632,0.189021,0.483463,-0.373566,0.768754,0.253424,-0.391592,-0.884552,0.75713,0.64944,-0.07059,0.085037,0.657332,2.643973,50.94261105427968,-34.95796513595732,37.68495473821317,0.300643,-0.389112,0.400361,0.773251,0.376606,0.385191,0.842494,-0.853126,0.49865,0.153375,O,BuildB
