Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f,Gender,Build Type
0.0,0.083265,1.563088,2.435702,-24.641698091258515,75.1798503648153,1.280199359649892,0.162418,-0.597808,-0.138807,-0.772644,0.246717,0.020306,-0.968875,-0.408686,0.908706,-0.085023,0.194978,1.149431,2.631333,-29.880880940245873,50.25025228012441,6.600482113699748,-0.209417,0.423,0.159645,0.867023,0.59117,0.099666,-0.800366,-0.453998,0.861316,-0.228079,0.289486,1.127276,2.492594,-30.669430361632273,56.10583013264622,-1.2378571291533742,-0.238273,0.450996,0.11517,0.852388,0.566677,-0.018581,-0.82373,-0.411259,0.859924,-0.30232,M,BuildA
0.05,0.090184,1.558839,2.438226,-21.371386548873705,74.11066035622292,1.7425396577485373,0.138955,-0.594318,-0.123644,-0.782425,0.262996,0.028316,-0.964381,-0.358651,0.930807,-0.070477,0.197344,1.107304,2.644908,-14.996103983238664,46.68473767395922,9.804107269554407,-0.085805,0.401638,0.129303,0.902555,0.643936,0.164481,-0.74719,-0.302331,0.951837,-0.051021,0.288066,1.108354,2.500079,-25.15395665213972,55.39430322174922,-2.134597763431957,-0.201217,0.449975,0.085096,0.865906,0.580563,-0.033714,-0.813517,-0.328456,0.904541,-0.271887,M,BuildA
0.083,0.09396,1.556829,2.439909,-19.719226993463938,73.43436296126923,1.7815839989509208,0.128087,-0.591098,-0.114641,-0.78807,0.274921,0.029265,-0.961021,-0.332114,0.940903,-0.066356,0.196478,1.107846,2.644625,-15.525674878624816,47.04874136913848,9.365564451876615,-0.091147,0.404272,0.127901,0.901054,0.640412,0.156795,-0.751857,-0.304187,0.950667,-0.060843,0.287911,1.108321,2.500933,-25.237164402978493,55.15281954438274,-1.7503711540796498,-0.200519,0.448739,0.087908,0.866428,0.581811,-0.02763,-0.812855,-0.332292,0.904129,-0.268575,M,BuildA
0.116,0.097487,1.554388,2.441885,-17.890447328111776,72.64264057931169,1.916271741159539,0.115478,-0.587122,-0.105395,-0.794257,0.28836,0.031823,-0.956993,-0.30302,0.951114,-0.059678,0.190819,1.088995,2.646771,-11.308212035213588,46.86584720638561,8.416300395925175,-0.061114,0.401307,0.106075,0.907726,0.655403,0.143523,-0.741518,-0.241624,0.970027,-0.025812,0.285211,1.100392,2.509376,-23.103719686259694,53.50194206512713,-1.500506382353599,-0.184581,0.438617,0.078674,0.875989,0.602852,-0.024085,-0.79749,-0.299755,0.919481,-0.254366,M,BuildA
0.15,0.100923,1.551468,2.444429,-15.780247394916977,71.56114799530015,2.3148191917753413,0.099644,-0.581279,-0.096477,-0.801797,0.305614,0.038867,-0.951362,-0.270552,0.961527,-0.047629,0.190362,1.089507,2.646897,-11.502921060735664,46.84648555224304,8.315482728521102,-0.063037,0.401145,0.105925,0.907683,0.655726,0.141719,-0.741579,-0.242867,0.969612,-0.029453,0.285241,1.100942,2.509411,-23.212443794680578,53.547135611123714,-1.8415809233866636,-0.186684,0.438312,0.076561,0.875883,0.604042,-0.029534,-0.796405,-0.297768,0.918575,-0.259911,M,BuildA
0.183,0.103964,1.548579,2.447503,-13.638782492516688,70.28859502207037,2.670727312518439,0.083748,-0.573673,-0.087254,-0.810107,0.326573,0.045283,-0.944087,-0.237459,0.970746,-0.035579,0.180919,1.076971,2.647852,-8.56960162557722,46.487948422642944,7.879845950610437,-0.041447,0.397331,0.092373,0.912073,0.667191,0.135565,-0.732446,-0.201437,0.979499,-0.0022,0.282418,1.09708,2.51772,-22.08956160217926,51.90042602911712,-2.9083141077891796,-0.183104,0.424975,0.061409,0.884363,0.631251,-0.047014,-0.774153,-0.264244,0.925404,-0.271666,M,BuildA
0.216,0.106672,1.545461,2.450839,-11.377998787697903,68.74776766581131,3.254744948664815,0.06583,-0.563907,-0.079269,-0.819385,0.35145,0.055659,-0.934551,-0.204147,0.978766,-0.01848,0.18068,1.077169,2.648126,-8.629326360730794,46.554370513091264,7.998439501253503,-0.041459,0.39792,0.093543,0.911696,0.665819,0.13757,-0.733321,-0.20356,0.979062,-0.001151,0.282295,1.097319,2.518028,-22.22200316790242,51.852779789699966,-2.8443902511330705,-0.18391,0.424587,0.062327,0.884318,0.631683,-0.045937,-0.773865,-0.266406,0.924585,-0.272344,M,BuildA
0.25,0.108627,1.542045,2.454744,-8.93557789585953,66.76048722644973,4.100452780271084,0.045383,-0.550497,-0.072615,-0.830434,0.383361,0.070638,-0.920894,-0.17057,0.985335,0.004574,0.170528,1.069895,2.648768,-6.2029184129845625,46.519103837419145,8.186419256651279,-0.021434,0.396861,0.086793,0.913515,0.669938,0.14156,-0.728797,-0.175585,0.984015,0.029729,0.278704,1.096667,2.526951,-22.40844739833899,49.76765292284602,-3.208963009100553,-0.187756,0.407663,0.056812,0.891814,0.661167,-0.051751,-0.748452,-0.254413,0.923041,-0.288566,M,BuildA
0.283,0.109476,1.538428,2.459107,-6.386721093432453,64.36927291984378,5.049242663295439,0.023674,-0.533383,-0.066865,-0.842895,0.422064,0.087465,-0.902337,-0.137974,0.989937,0.031419,0.170449,1.070186,2.649137,-6.3014474849047835,46.46564692839512,8.276513217578438,-0.021951,0.39649,0.087836,0.913564,0.670161,0.143081,-0.728294,-0.177894,0.983606,0.029546,0.278787,1.096887,2.527005,-22.4704347701783,49.741018874366425,-3.2466220193562227,-0.188383,0.407336,0.056701,0.891838,0.661725,-0.052333,-0.747918,-0.254607,0.922594,-0.28982,M,BuildA
0.316,0.109527,1.535085,2.463675,-4.090705923929954,61.553929230745354,6.015874664066666,0.003788,-0.512276,-0.063293,-0.856477,0.467134,0.104536,-0.877985,-0.112298,0.991959,0.058358,0.159964,1.066641,2.653749,-4.6031648197369766,44.653475503994585,8.580959508913848,-0.008647,0.381297,0.084362,0.920555,0.694992,0.148725,-0.703468,-0.161913,0.985617,0.048413,0.276198,1.098514,2.535132,-23.326460477730567,47.81440059683729,-4.410358885418279,-0.199949,0.389484,0.047415,0.897817,0.692108,-0.070614,-0.718331,-0.240893,0.915545,-0.3221,M,BuildA
